;;perfekt;~er;~esten;adj;;2;perfect
die;;Person;~;~en;noun;;3;person
das;;Personal;~s;~;noun;;2;staff, personnel
;;persönlich;~er;~sten;adj;;2;personal
das;;Pferd;~s, ~es;~e;noun;anim;1;horse
;;plötzlich;–;–;adj;;3;suddenly
;;positiv;~er;~sten;adj;;2;positive
der;;Posten;~s;~;noun;;2;post, station, position
;;praktisch;~er;meest praktisch, ~t;adj;;3;practical
der;;Präsident;~en;~en;noun;job, pers;2;president
;;prinzipiell;;;adv;;1;basically
;;privat;~er;~esten;adj;;3;private
der;;Professor;~s;~en;noun;job, pers;1;professor
das;;Prozent;~s, ~es;~e;noun;conc;2;percent
das;;Publikum;;;noun;conc;3;audience
die;;Quote;~;~n;noun;conc;2;quota
der;;Ratgeber;~s;~;noun;job, pers;3;advisor
der;;Raum;~s, ~es;⍨e;noun;plac;2;room
;;rechts;;;adv;;2;on the right
;;regional;–;–;adj;;2;regional
w;;reichen;;;verb;;3;to reach
die;;Reinigung;~;~en;noun;;2;cleaning
der;;Reis;~es;~;noun;food;1;rice
der;;Reiseführer;~s;~;noun;job, pers;2;tour guide
;;relativ;~er;~sten;adj;;2;relative
das;;Restaurant;~s;~s;noun;plac;1;restaurant
das;;Rezept;~s, ~es;~e;noun;read;2;recipe
der;;Richter;~s;~;noun;job, pers;2;judge
;;richtig;~er;~sten;adj;;3;correct, right
der;;Rock;~s, ~es;⍨e;noun;clot;1;skirt
;;rot;~ter;~st;adj;col;1;red
;;royal;;;adj;;3;royal
der;;Saft;~s, ~es;⍨e;noun;dri;1;juice
das;;Salz;~s;~e;noun;food;1;salt
das;;Sandwich;~s;~s;noun;food;1;sandwich
der;;Schlaf;~s, ~es;–;noun;eve;2;sleeping
s7;;schlafen;;;verb;;1;to sleep
;;schlecht;~er;~esten;adj;;1;bad
der;;Schlüssel;~s;~;noun;;2;key
der;;Schmuck;~s, ~es;~e;noun;clot;2;jewelry
der;;Schneider;~s;~;noun;job, pers;1;tailor
;;schnell;~er;~sten;adj;;2;quick, fast
;;schön;~er;~sten;adj;;1;pretty, nice
s1;;schreiben;;;verb;;1;to write
der;;Schuh;~s, ~es;~e;noun;clot;1;shoe
der;;Schüler;~s;~;noun;pers, chil;1;pupil
die;;Schülerin;~;~en;noun;pers, chil;1;pupil
;;schwanger;–;–;adj;;2;prenant
;;schwarz;⍨er;⍨esten;adj;col;1;black
;;schwer;~er;~sten;adj;;2;heavy, weighty
die;;Schwester;~;~n;noun;pers, fam;1;sister
s3;;schwimmen;;;verb;;2;to swim
;;sechs;;;num;;1;six
s5;;sehen;;;verb;;1;to see
;;sehr;;;adv;;1;very
